日期,品名,规格,材质,品牌,价格,地区,抓取时间,创建时间
2026-05-16,螺纹钢,Φ18,HRB500E,江苏镔鑫,3640,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB400E,莱钢,3460,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB400E,永锋,3460,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB400E,石横特钢,3460,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB400E,江苏镔鑫,3440,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB500E,莱钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB500E,永锋,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB500E,石横特钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ18,HRB500E,江苏镔鑫,3650,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB400E,莱钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB400E,永锋,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB400E,石横特钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB400E,江苏镔鑫,3650,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB400E,莱钢,3450,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB400E,永锋,3450,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB400E,石横特钢,3450,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB400E,江苏镔鑫,3430,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB500E,莱钢,3660,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB500E,永锋,3660,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB500E,石横特钢,3660,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB500E,江苏镔鑫,3640,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB400E,莱钢,3460,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB400E,永锋,3460,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB400E,石横特钢,3460,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB400E,江苏镔鑫,3440,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB500E,莱钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB500E,永锋,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB500E,石横特钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ20,HRB500E,江苏镔鑫,3650,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB400E,莱钢,3580,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB400E,永锋,3580,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB400E,石横特钢,3580,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB400E,江苏镔鑫,3560,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB400E,莱钢,3360,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB400E,永锋,3360,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB400E,石横特钢,3360,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB400E,江苏镔鑫,3340,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB500E,莱钢,3570,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB500E,永锋,3570,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB500E,石横特钢,3570,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB500E,江苏镔鑫,3550,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB400E,莱钢,3370,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB400E,永锋,3370,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB400E,石横特钢,3370,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB400E,江苏镔鑫,3350,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB500E,莱钢,3580,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB500E,永锋,3580,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB500E,石横特钢,3580,山东烟台,None,None
2026-05-16,螺纹钢,Φ22,HRB500E,江苏镔鑫,3560,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB400E,莱钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB400E,永锋,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB400E,石横特钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB400E,江苏镔鑫,3650,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB400E,莱钢,3450,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB400E,永锋,3450,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB400E,石横特钢,3450,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB400E,江苏镔鑫,3430,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB500E,莱钢,3660,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB500E,永锋,3660,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB500E,石横特钢,3660,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB500E,江苏镔鑫,3640,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB400E,莱钢,3460,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB400E,永锋,3460,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB400E,石横特钢,3460,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB400E,江苏镔鑫,3440,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB500E,莱钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB500E,永锋,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB500E,石横特钢,3670,山东烟台,None,None
2026-05-16,螺纹钢,Φ25,HRB500E,江苏镔鑫,3650,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB400E,莱钢,3730,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB400E,永锋,3730,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB400E,石横特钢,3730,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB400E,江苏镔鑫,3700,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB400E,莱钢,3510,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB400E,永锋,3510,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB400E,石横特钢,3510,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB400E,江苏镔鑫,3480,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB500E,莱钢,3720,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB500E,永锋,3720,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB500E,石横特钢,3720,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB500E,江苏镔鑫,3690,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB400E,莱钢,3520,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB400E,永锋,3520,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB400E,石横特钢,3520,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB400E,江苏镔鑫,3490,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB500E,莱钢,3730,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB500E,永锋,3730,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB500E,石横特钢,3730,山东烟台,None,None
2026-05-16,螺纹钢,Φ28-32,HRB500E,江苏镔鑫,3700,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB400E,莱钢,3860,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB400E,永锋,3860,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB400E,石横特钢,3860,山东烟台,None,None
